f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,protected
0.0,0.0787,-0.0964,0.0914,0.0877,0.0868,-0.1114,-0.1411,-0.1169,0.0385,-0.1209,-0.1053,-0.1207,0.0897,-0.1047,-0.1305
0.0,-0.0177,0.014,0.0004,0.0141,-0.0232,-0.0217,0.0035,-0.0175,0.0151,0.005,0.0058,-0.0223,0.0161,0.0069,-0.0257
0.0,0.0532,0.0536,0.0467,0.0475,-0.0643,-0.0712,0.0438,-0.0858,0.0544,-0.0868,0.0232,-0.0837,0.041,0.0569,-0.0947
0.0,0.0244,-0.0525,-0.0657,0.0123,-0.059,0.0352,-0.058,0.0311,-0.0567,0.0384,0.0064,0.0425,-0.0549,0.0448,-0.0434
0.0,0.0254,0.0458,0.0437,-0.0522,-0.0832,0.0155,0.0242,-0.0544,0.0492,0.035,0.029,-0.0606,-0.0638,0.0325,-0.0604
0.0,-0.0123,-0.0177,-0.0157,-0.0164,0.0071,0.0137,-0.0173,0.0002,0.0065,0.0019,0.007,-0.024,-0.0187,-0.0177,0.0057
0.0,-0.0731,-0.118,-0.0815,0.0427,-0.1085,0.0674,0.0481,-0.0703,-0.0952,0.0432,0.0623,0.0627,0.0619,0.0703,-0.0993
0.0,-0.0622,-0.0694,-0.1058,0.0527,-0.0688,0.0268,0.0489,-0.0673,0.0425,0.0574,0.0497,-0.0894,-0.0889,0.0354,0.0614
0.0,0.0375,0.0234,0.0346,-0.0626,-0.0564,0.0237,0.0126,0.0204,-0.0401,-0.0462,-0.0543,-0.0504,0.0395,-0.0519,-0.0631
0.0,0.0417,0.0325,-0.0769,0.0568,-0.0615,-0.0696,0.0576,0.0402,-0.069,0.062,-0.0829,0.0469,-0.1034,-0.0869,-0.0917
0.0,0.0255,0.0379,0.0413,-0.0712,-0.0602,-0.1007,-0.0594,0.0412,-0.0686,0.0478,-0.0897,-0.0633,0.0398,-0.0812,0.0574
0.4956,-0.3601,-0.4005,0.4182,-0.3955,0.4203,-0.3652,0.4454,0.4324,0.4317,0.4603,0.4205,-0.4151,-0.4105,0.4211,-0.3918
0.0,0.0203,-0.0367,-0.043,-0.03,0.0248,0.0056,-0.0322,0.0224,-0.0385,-0.0306,0.0191,0.0225,0.0077,-0.0372,-0.0461
0.4957,0.4561,0.4936,0.4482,-0.4155,0.4416,0.4659,-0.4449,-0.4425,-0.4253,-0.3978,-0.4207,-0.4362,0.4491,0.4747,-0.4291
0.4959,0.4734,-0.4382,0.4499,-0.4422,0.4588,-0.4351,0.488,0.4546,0.4451,-0.4444,-0.4269,-0.4233,-0.4195,-0.4435,0.4782
0.0,0.0462,0.0494,-0.0702,0.0235,-0.0729,0.0484,0.0433,-0.0692,-0.0559,0.0576,-0.082,-0.0927,0.0204,0.0425,0.05
0.0,-0.1062,-0.1266,0.0814,-0.1333,0.0982,-0.1092,-0.1159,-0.1046,0.0938,0.0795,-0.1283,-0.1147,0.0241,0.0719,-0.1068
0.0,0.0251,0.0378,-0.0625,0.0191,0.0388,0.0166,-0.0433,-0.05,-0.0461,-0.0446,-0.082,0.0311,-0.0434,-0.0471,0.0258
0.501,0.4785,0.4417,0.4607,0.4472,0.4285,0.4324,0.4577,0.4322,0.4341,-0.3947,0.4364,-0.4219,-0.4076,0.4356,-0.4046
0.5013,0.4347,0.4576,0.4478,-0.3999,0.4474,-0.4073,0.4199,0.4273,0.418,0.4375,-0.3919,-0.3968,-0.4071,0.451,-0.3692
0.0,-0.1141,0.0502,0.1043,-0.1151,0.0882,-0.1183,-0.1367,-0.1335,-0.1306,0.084,-0.1323,-0.1137,-0.1187,0.0688,0.0796
0.502,0.4989,-0.4684,-0.4663,0.488,-0.4733,0.4891,0.4786,-0.4663,0.4869,0.4736,-0.4664,-0.4697,0.4732,0.4764,0.4774
0.0,0.0969,-0.135,-0.127,0.1256,-0.126,-0.1775,-0.1406,0.0852,-0.1898,0.1127,-0.1293,-0.1267,0.1025,0.1112,0.1223
0.0,0.0193,0.0313,-0.0518,0.0236,0.0354,0.0254,-0.0382,0.0221,-0.0443,-0.0369,-0.0475,-0.0566,-0.0434,0.0046,0.0082
0.0,-0.0753,-0.0871,0.0445,-0.1023,0.058,-0.1008,-0.0996,0.0501,-0.0688,0.0349,0.0612,0.0571,0.0521,0.0602,0.0507
0.0,0.0272,0.0437,0.0399,0.0433,-0.0767,0.0457,-0.0797,-0.0469,-0.0558,0.0235,0.037,-0.0871,0.0413,-0.0518,-0.0504
0.5041,-0.3819,0.3974,0.3952,-0.3738,-0.3472,-0.3657,0.405,-0.3875,0.3933,-0.3607,-0.3446,-0.383,-0.3509,0.4535,0.386
0.0,-0.0868,0.0611,-0.0797,-0.1289,-0.143,-0.089,0.0707,0.0705,-0.0845,0.0727,0.0542,0.0671,-0.1005,0.0716,0.0699
0.0,0.0251,0.0316,-0.0438,0.0374,0.0177,-0.0511,-0.0521,-0.0428,-0.0564,0.0127,0.027,-0.0468,-0.0664,-0.0464,0.0133
0.0,0.0163,0.0362,-0.0477,-0.043,-0.0732,0.0336,0.0255,0.0344,0.0354,0.0284,0.0196,-0.0541,-0.0451,-0.0692,0.0316
0.4985,0.4939,0.48,-0.4689,0.4911,0.4725,-0.4733,0.4861,0.4876,-0.4727,0.509,0.4711,0.4789,0.4875,-0.467,0.4797
0.4956,0.4382,0.4489,0.4765,0.4453,0.4679,0.4459,-0.43,0.4435,-0.4414,0.4699,0.4605,-0.4367,0.4349,0.4434,0.4956
0.0,0.0205,-0.0405,-0.0315,0.0262,-0.0393,0.0274,0.0297,0.0016,0.0252,0.0109,-0.0457,-0.0333,0.0116,-0.0429,0.0217
0.0,-0.0758,-0.1192,-0.0782,0.06,0.0451,0.0534,-0.079,0.0551,-0.0796,-0.0777,-0.0676,0.0521,0.0224,-0.0739,-0.09
0.51,-0.4357,0.4531,0.4456,0.4526,-0.4279,-0.4274,-0.438,0.4431,-0.4241,0.4499,0.4814,0.4731,-0.4322,0.4683,0.4787
0.0,0.0091,-0.0654,-0.0554,0.0497,-0.0635,0.0438,-0.0983,-0.06,-0.0605,0.035,0.0459,0.0448,0.039,-0.0671,0.0408
0.5039,-0.3873,0.4112,0.4308,-0.3965,-0.3927,-0.3869,-0.3688,0.4048,0.4255,0.4127,0.409,0.4525,-0.3727,0.4327,-0.3792
0.0,-0.1246,0.0896,0.096,0.0922,-0.0963,0.0831,0.0921,0.0541,0.0558,-0.0933,-0.0979,0.0672,-0.1018,-0.1627,-0.0976
0.4946,-0.4397,-0.4497,0.4817,0.4588,0.4564,-0.4484,0.4879,0.4708,-0.4561,0.4826,0.4502,-0.4432,-0.4442,-0.437,0.4833
0.0,-0.1036,-0.1142,-0.095,0.057,0.0288,-0.0879,-0.0799,0.0438,-0.1117,-0.0893,0.0624,-0.0833,0.0667,-0.1017,-0.0926
0.0,0.0545,-0.1024,0.0374,-0.071,0.0174,-0.085,-0.0593,0.0637,0.0371,0.0442,0.0551,0.0605,-0.0661,-0.0864,-0.0697
0.0,-0.1066,-0.1089,0.0737,-0.1273,-0.107,-0.1254,-0.1092,-0.1114,-0.1101,-0.1273,0.0644,-0.1245,0.0753,-0.144,0.0499
0.0,0.0821,-0.1152,0.0622,0.0914,-0.1403,0.0859,-0.1151,-0.0997,-0.1061,0.0868,0.0742,-0.093,0.0742,-0.1315,0.0422
0.0,-0.0587,-0.0617,-0.0505,0.0262,0.0388,-0.0737,0.0451,0.0403,0.0216,0.0218,-0.0786,0.0436,0.0372,0.0273,-0.0623
0.4966,0.4946,0.5022,0.4954,0.4899,-0.4761,-0.4764,0.4976,0.4858,0.4838,-0.4796,0.4933,0.492,0.4818,-0.4783,-0.4581
0.0,0.011,0.0148,0.0146,0.0074,-0.0299,-0.0258,-0.0441,-0.0234,0.0179,-0.0322,0.0144,-0.0397,0.0139,0.0205,0.0128
0.0,-0.0854,0.0595,0.0332,0.0622,-0.0697,0.0713,0.0297,-0.0914,0.0641,-0.1138,0.0713,-0.1075,0.0632,-0.0746,0.0669
0.0,-0.0963,-0.0782,0.0127,0.0447,0.0502,-0.0869,0.0566,-0.0691,-0.0639,-0.0763,0.0657,0.0459,0.0526,0.0521,-0.0837
0.5012,0.4279,-0.4046,0.4893,-0.4054,-0.4015,0.4289,0.4271,-0.3981,-0.3994,-0.4029,-0.4158,0.4422,-0.4126,0.4342,0.4445
0.0,-0.0465,0.0189,-0.0573,-0.0502,-0.0435,-0.0532,0.0189,-0.0476,0.0262,0.0301,0.0147,-0.0618,0.0239,-0.065,0.0415
0.0,0.0229,-0.0915,0.0548,-0.0634,0.0339,0.0488,-0.0702,-0.0656,0.0411,-0.0613,0.0466,-0.0748,0.0315,0.0469,-0.0849
0.0,-0.0651,-0.0668,-0.049,0.0372,0.0259,-0.0453,0.0236,-0.063,0.0352,-0.0756,-0.0505,0.0132,0.0446,-0.0521,-0.049
0.0,-0.0939,0.0547,0.0484,-0.1096,-0.1005,-0.0986,0.0577,-0.0878,0.07,0.0752,0.0404,-0.0778,-0.1116,0.0444,-0.0899
0.0,0.0904,0.0436,-0.1168,0.0635,-0.1224,-0.131,-0.1088,0.0809,0.0808,-0.1488,-0.1021,0.0856,-0.1106,0.0873,-0.1033
0.5031,0.4685,-0.4399,0.4603,0.468,-0.448,-0.44,0.4936,0.4826,0.4554,-0.4558,-0.4478,-0.4491,0.472,0.474,-0.4487
0.5045,-0.4232,0.445,0.4755,0.4697,-0.4445,-0.444,-0.4287,0.4569,0.4788,0.4493,-0.4143,0.4468,0.4478,-0.4214,0.4471
0.0,0.0936,-0.1215,-0.1785,-0.1044,-0.1197,-0.1219,-0.1142,0.0946,-0.1154,0.0822,0.0713,0.0782,0.0776,0.0802,0.1023
0.0,-0.1558,0.0973,-0.1105,-0.1357,0.0741,0.0889,-0.11,0.0766,-0.1328,0.0719,0.0738,-0.1002,0.0796,-0.1072,0.0901
0.4987,0.4404,0.404,0.4519,0.419,-0.4098,-0.3557,0.4045,0.403,0.4209,-0.3908,-0.3915,0.4329,0.4231,0.4249,-0.4002
0.0,0.0294,-0.0975,-0.0774,-0.0753,-0.104,-0.0861,0.0339,0.0716,-0.0883,0.0661,0.0699,-0.1027,-0.0897,0.0643,-0.104
0.0,0.0225,0.028,0.0444,-0.0869,0.0317,-0.0496,-0.0513,0.0467,-0.0585,-0.0604,0.0442,0.0445,-0.0509,-0.0632,-0.0842
0.5012,0.4624,-0.453,-0.4633,-0.4465,-0.4541,0.4934,-0.4405,0.4702,0.4706,0.4791,0.4774,0.4751,0.4975,0.4795,-0.4667
0.0,-0.038,-0.0366,-0.0401,-0.0374,-0.0327,-0.0254,0.0121,-0.0302,0.0205,0.018,-0.0362,0.0096,0.0179,-0.0249,0.0081
0.5015,0.4945,-0.4613,0.4898,0.4805,0.4833,0.4696,-0.4569,0.4762,0.4663,-0.4611,-0.4521,-0.4435,-0.4638,0.4908,0.4712
0.5012,-0.4227,0.4948,0.4807,-0.4218,0.4415,-0.4204,0.4425,0.4482,0.4357,0.4411,0.462,0.4398,-0.417,0.4559,-0.4204
0.0,-0.0989,0.0563,-0.1259,0.0935,0.0758,0.0396,-0.1011,0.0903,-0.1094,-0.1261,-0.1245,0.0695,0.0887,-0.1184,0.0957
0.0,-0.0213,0.0102,0.0136,-0.0195,-0.0264,0.01,0.0044,-0.0296,0.0108,-0.0276,0.0098,0.0143,0.0095,-0.0217,-0.0261
0.5026,0.4183,0.4151,0.4135,0.4032,-0.3648,0.4261,0.3851,0.3905,-0.3553,-0.3579,-0.3726,0.406,-0.3617,-0.3501,-0.3627
0.0,0.0617,0.0704,-0.1042,0.0794,0.087,-0.1237,0.062,-0.0995,-0.1351,-0.1088,0.0919,-0.1016,-0.1069,-0.1281,-0.1433
0.5035,0.4655,0.4665,-0.4409,-0.4147,-0.431,0.4644,0.4918,0.4473,-0.4431,0.4524,0.4784,0.4628,0.4701,-0.4342,-0.4448
0.0,-0.0724,-0.0627,0.0291,-0.0639,-0.1099,0.0445,0.0427,0.0551,0.0576,-0.0779,0.0565,-0.0727,0.0432,-0.0583,-0.097
0.0,-0.0608,0.0366,-0.0506,-0.0565,0.0125,0.032,-0.0566,-0.0472,0.0161,-0.0469,-0.0516,-0.0482,0.0239,-0.051,0.0098
0.0,0.0406,0.0613,0.0821,-0.118,0.0697,0.0854,0.0824,0.0879,-0.095,-0.126,0.0867,-0.0941,-0.0967,-0.09,-0.1444
0.0,-0.0641,0.0144,0.0333,0.0323,0.0173,-0.0469,0.0371,-0.0621,0.0309,0.0382,-0.0639,0.033,0.0407,0.0376,-0.0691
0.0,0.0112,-0.0967,0.0459,0.0452,-0.0824,0.0594,-0.0702,-0.063,0.0395,-0.0719,-0.0576,0.0421,-0.0745,0.0593,-0.0737
0.4979,0.4,0.4024,0.4298,0.3928,-0.3485,-0.3902,0.4299,0.4089,-0.367,-0.3854,0.4011,0.4233,0.4067,0.4448,0.4154
0.0,0.0399,-0.0673,-0.1115,-0.0801,-0.0739,-0.0676,0.052,-0.0758,-0.0914,-0.0718,0.0589,0.0557,0.0429,0.0244,-0.0756
0.0,0.0615,0.0626,0.0562,-0.0842,-0.0879,-0.1174,-0.0634,-0.0694,0.0584,0.0302,0.06,-0.0686,0.0525,-0.076,0.0279
0.0,0.0422,-0.0811,0.0603,-0.0666,-0.0932,0.0469,0.0636,-0.0757,-0.091,0.0643,-0.0924,0.0533,0.0155,0.0622,0.0431
0.0,-0.0365,-0.0493,0.0283,-0.0362,0.007,-0.0315,0.0146,-0.0503,0.0123,0.0231,0.0144,-0.0333,0.027,0.0234,-0.0343
0.0,0.0242,-0.0417,0.0031,0.0366,0.0387,-0.0472,-0.0467,0.0384,-0.0561,-0.0507,0.0361,-0.0561,-0.0529,-0.0525,0.0061
0.0,0.0614,-0.0768,0.0485,0.0565,0.0167,-0.0919,-0.1018,-0.0753,0.0519,0.0457,0.0655,0.0604,-0.0687,0.0343,-0.0672
0.0,-0.0977,-0.063,-0.0712,-0.0996,0.0524,0.0624,-0.0691,-0.0753,-0.0742,0.0421,0.061,0.0362,0.0443,0.0511,0.02
0.0,-0.0089,0.0026,0.0021,-0.0108,0.0023,-0.0107,-0.0121,-0.0104,0.007,-0.0082,-0.0123,0.0024,-0.0119,0.0,0.0012
0.0,-0.04,0.0103,-0.0511,-0.0511,0.0411,-0.0469,0.0137,-0.0418,0.0267,-0.0417,-0.0552,0.0267,-0.056,-0.0699,0.0281
0.4955,0.4588,-0.4576,0.4878,0.4735,0.479,0.4637,0.4641,0.4506,-0.4237,0.4617,-0.4489,0.4869,0.4589,0.4694,0.4611
0.0,-0.0599,-0.0625,-0.0646,0.0337,-0.0685,-0.0496,0.0324,-0.0442,0.0427,-0.0553,0.0229,0.0051,-0.0648,-0.0513,-0.0497
